,collocation,translate
18669,schooner,纵帆船
18670,satisfactorily,令人满意地
18671,(mafia),(黑手党)
18672,meditative,沉思
18673,fifth-grade,五年级
18674,tree-lined,绿树成荫
18675,coal-fired,燃煤
18676,syndicate,辛迪加
18677,supermodel,超模
18678,airstrip,简易机场跑道
18679,nuzzle,鼻烟
18680,bountiful,丰厚
18681,equivalence,等价性
18682,swig,一饮而尽
18683,magnetism,磁性
18684,intelligentsia,知识界
18685,hatchet,斧头
18686,(cougar),(美洲狮)
18687,quotient,商
18688,whizz,威兹
18689,chairmanship,主席职位
18690,(salmonella),(沙门氏菌)
18691,insular,孤岛
18692,socialite,社会名流
18693,input,输入
18694,salamander,火蜥蜴
18695,yellowed,发黄了
18696,belated,迟来的
18697,infidel,异教徒
18698,particularity,特殊性
18699,ascension,提升
18700,steadfastly,坚定不移
18701,darkroom,暗室
18702,stereotyped,千篇一律
18703,drizzle,毛毛雨
18704,grime,污垢
18705,amply,充足
18706,infertile,不孕不育
18707,cauliflower,花椰菜
18708,overlay,覆盖
18709,coronation,加冕典礼
18710,heart-shaped,心形
18711,halting,正在停顿
18712,nose,鼻子
18713,readjust,重新调整
18714,loon,Loon
18715,sequester,自动减支
18716,currant,加仑
18717,radiologist,放射科医生
18718,self-centered,以自我为中心
18719,blown,吹了
18720,harem,后宫
18721,externalize,外部化
18722,third-largest,第三大
18723,authorial,作者
18724,sought-after,受追捧的
18725,overeat,暴饮暴食
18726,showy,艳丽
18727,unraveled,解开
18728,pre-columbian,前哥伦布时代
18729,nettle,大麻风
18730,cruelly,残忍地
18731,sac,国资委
18732,entrance,入口
18733,prohibitive,令人望而却步
18734,sarcastically,讽刺地
18735,outscore,比分更高
18736,obsessively,痴迷于
18737,acumen,敏锐
18738,intoxication,醉酒
18739,homesick,想家
18740,snub,冷落
18741,midget,侏儒
18742,apolitical,非政治性
18743,amphibious,两栖
18744,rollover,翻转
18745,reprehensible,应受谴责
18746,bleached,漂白
18747,floodplain,泛滥平原
18748,nonviolence,非暴力
18749,emphysema,肺气肿
18750,moor,沼泽
18751,molded,模制的
18752,connectedness,互联互通
18753,beehive,蜂箱
18754,weightless,失重
18755,carry-on,随身携带
18756,fizzle,失败了
18757,gloat,幸灾乐祸
18758,tumult,骚动
18759,magenta,洋红色
18760,legging,打腿
18761,habitation,居住
18762,(atlas),(阿特拉斯)
18763,botch,搞砸了
18764,scroll,卷轴
18765,bound,已绑定
18766,gray-haired,头发花白
18767,tuber,块茎
18768,pathos,悲情
18769,(windrow),(Windrow)
18770,credo,信条
18771,mucus,粘液
18772,gentleness,温柔
18773,mannerism,言谈举止
18774,trimester,三个月
18775,custodial,保管权
18776,tarragon,龙蒿
18777,ravioli,意式馄饨
18778,(momma),(妈妈)
18779,neurosurgeon,神经外科医生
18780,hysterically,歇斯底里地
18781,democratize,民主化
18782,narcissistic,自恋
18783,uncharacteristically,不同寻常的
18784,biochemistry,生物化学
18785,(offstage),(台下)
18786,bequest,遗赠
18787,repaint,重绘
18788,furtive,偷偷摸摸
18789,dashing,冲刺
18790,alum,明矾
18791,qualitatively,定性地
18792,swab,用棉签擦拭
18793,facedown,面朝下
18794,all-star,全明星
18795,hem,下摆
18796,vacationer,度假者
18797,cleanser,洁面奶
18798,rhododendron,杜鹃
18799,aimlessly,漫无目的
18800,unsettled,悬而未决
18801,squabble,争吵不休
18802,retrofit,改装
18803,feel-good,感觉很好
18804,urging,催促
18805,child-rearing,养育子女
18806,sully,萨利
18807,romanticize,浪漫化
18808,heartless,冷酷无情
18809,analyzer,分析器
18810,deadlock,僵局
18811,low-tech,低技术含量
18812,off-duty,休班
18813,smock,工作服
18814,scorecard,记分卡
18815,excision,切除
18816,beater,打蛋机
18817,introspection,反省
18818,sweating,出汗
18819,aggregate,集合体
18820,measles,麻疹
18821,paving,铺装
18822,karma,因果报应
18823,terse,简洁
18824,stained-glass,彩色玻璃
18825,blissful,幸福的
18826,lumbering,伐木
18827,yuppie,雅皮士
18828,undervalue,低估价值
18829,decadence,颓废
18830,immortalize,永垂不朽
18831,intoxicating,令人陶醉
18832,indistinct,模糊不清
18833,cyclone,气旋
18834,veracity,准确性
18835,worn-out,疲惫不堪
18836,impurity,杂质
18837,ricochet,回弹
18838,indigo,青蓝
18839,antiseptic,防腐剂
18840,groupie,追星族
18841,occupying,占领
18842,steeple,尖塔
18843,summation,总和
18844,six-day,六天
18845,rebut,反驳
18846,oppressor,压迫者
18847,vandal,破坏公物者
18848,indisputable,无可争辩
18849,pancreatic,胰腺
18850,eighty-five,八十五
18851,infighting,内斗
18852,demographer,人口学家
18853,recliner,躺椅
18854,co-found,共同创立
18855,tiresome,令人厌倦
18856,loot,掠夺
18857,lithe,柔软
18858,rebuke,斥责
18859,schism,分裂
18860,sentimentality,感伤
18861,far-off,遥远的地方
18862,sixteenth-century,16世纪
18863,accede,加入
18864,filet,菲力牛排
18865,refrigerated,冷藏
18866,uptake,摄取
18867,submissive,顺从
18868,sizeable,规模可观
18869,low-lying,地势低洼
18870,boat,船
18871,not-for-profit,非营利组织
18872,creak,吱吱作响
18873,pliers,钳子
18874,cobble,鹅卵石
18875,earthen,土
18876,forty-one,四十一个
18877,wily,狡猾
18878,torch,火炬
18879,incontinence,尿失禁
18880,repugnant,令人反感
18881,cinch,小菜一碟
18882,ahh,啊哈
18883,ransack,洗劫
18884,snare,圈套
18885,rheumatoid,类风湿
18886,anvil,铁砧
18887,upriver,上游
18888,brief,简略
18889,(bob),(鲍勃)
18890,clumsily,笨拙地
18891,prospector,探索者
18892,humbling,谦卑
18893,ripped,撕裂的
18894,innkeeper,客栈老板
18895,criminality,犯罪性
18896,big-screen,大屏幕
18897,whistling,吹口哨
18898,tuning,调谐
18899,tribesman,部落男子
18900,frothy,起泡的
18901,statistician,统计学家
18902,recollect,回忆
18903,recalcitrant,顽固不化
18904,air-conditioning,空调
18905,electrically,电学上
18906,heh,呵呵
18907,self-regulation,自律
18908,psychosis,精神病
18909,headband,头带
18910,declared,已宣布
18911,idealist,理想主义者
18912,drooping,下垂
18913,gumbo,秋葵
18914,mushroom,蘑菇
18915,(there),(在那里)
18916,libido,性欲
18917,rifle,步枪
18918,labeling,贴标签
18919,franchise,特许经营权
18920,meaningfully,有意义地
18921,churn,搅动
18922,humanly,人性化的
18923,inoculate,接种
18924,scrunch,嘎吱作响
18925,intergroup,组间
18926,photovoltaic,光伏发电
18927,chisel,凿子
18928,vouch,担保
18929,franchisee,加盟商
18930,forester,林务人员
18931,instantaneously,瞬间
18932,anachronism,不合时宜
18933,admirably,令人钦佩
18934,shanty,棚户区
18935,bridesmaid,伴娘
18936,blank,空白
18937,crumbled,崩溃了
18938,branching,分支
18939,boarder,寄宿者
18940,nay,不是。
18941,supplementation,补充
18942,pillowcase,枕套
18943,tumbling,翻滚
18944,smokestack,熏制
18945,puke,呕吐
18946,avail,有用处
18947,chalkboard,黑板
18948,llama,大羊驼
18949,crudely,粗略地说
18950,irreplaceable,不可替代
18951,deliverance,解救
18952,sniff,嗅探
18953,strainer,过滤器
18954,untapped,未开发
18955,seamstress,裁缝
18956,disenchanted,幻想破灭
18957,polka,波尔卡
18958,floodwaters,洪水
18959,travesty,嘲弄
18960,invertebrate,无脊椎动物
18961,goof,呆瓜
18962,peep,偷看
18963,commercialize,商业化
18964,cost-benefit,成本效益
18965,downtime,停机时间
18966,mass-produced,批量生产
18967,(arbor),(乔木)
18968,collapsed,崩溃了
18969,windswept,刮起大风
18970,scotch,苏格兰威士忌
18971,hoopla,喧嚣
18972,(preemption),(抢占)
18973,barricade,路障
18974,girth,腰围
18975,scaffold,脚手架
18976,captivating,引人入胜
18977,irritant,刺激性
18978,rim,轮缘
18979,prescient,有先见之明
18980,expressionless,面无表情
18981,supposition,假设
18982,marigold,万寿菊
18983,radon,氡气
18984,(dame),(圣母院)
18985,unscrew,拧下螺丝
18986,salinity,盐度
18987,naturalized,归化
18988,wrought-iron,熟铁
18989,snorkel,浮潜
18990,newsman,新闻记者
18991,politicized,政治化
18992,throttle,油门
18993,receptacle,插座
18994,craziness,疯狂
18995,un-american,非美国人
18996,mind-boggling,令人难以置信
18997,preoperative,术前
18998,unrecognizable,面目全非
18999,foreign-born,外国出生的人
19000,stethoscope,听诊器
19001,platelet,血小板
19002,mausoleum,陵墓
19003,spindle,主轴
19004,erstwhile,昔日
19005,pimple,粉刺
19006,blocking,阻止
19007,backpack,背包
19008,(robin),(罗宾)
19009,cheater,作弊者
19010,aftershock,余震
19011,untimely,不合时宜
19012,euphoric,快活的
19013,upside-down,颠倒
19014,unopened,未打开
19015,reusable,可重复使用
19016,whir,呼呼
19017,derelict,流浪汉
19018,snowman,雪人
19019,vanquished,被击败了
19020,vertebrate,脊椎动物
19021,underbrush,灌木丛
19022,win-win,双赢
19023,fiscally,财政上
19024,spindly,细长的
19025,tail,尾
19026,buzzword,流行语
19027,indoctrination,灌输
19028,firefight,交火
19029,five-star,五星级
19030,arugula,芝麻菜
19031,(holly),(霍莉)
19032,lewd,淫秽
19033,emigre,流亡者
19034,eucharistic,圣餐
19035,handset,听筒
19036,unresponsive,反应迟钝
19037,navigational,航海
19038,permissive,纵容
19039,puncture,穿孔
19040,triathlon,铁人三项
19041,bracket,托架
19042,bulging,鼓胀
19043,appraiser,鉴定人
19044,trawler,拖网渔船
19045,esophagus,食管
19046,goatee,山羊胡子
19047,quarterfinal,四分之一决赛
19048,hellish,地狱般的
19049,ascetic,苦行者
19050,heavy-handed,高压手段
19051,imprisoned,被监禁
19052,three-bedroom,三居室
19053,sioux,苏族人
19054,orator,演说家
19055,pleated,打褶的
19056,suburbia,郊区
19057,dioxin,二恶英
19058,litigate,提起诉讼
19059,downhill,下坡
19060,devolve,权力下放
19061,turntable,转盘
19062,expectantly,充满期待地
19063,taunt,嘲讽
19064,well-designed,设计精良
19065,unwrapped,展开
19066,affirmative,肯定的
19067,tightness,紧密性
19068,bleeding,出血
19069,unintentional,无意的
19070,upkeep,维护
19071,manhunt,搜捕
19072,encore,再来一次
19073,subconscious,潜意识
19074,self-perception,自我知觉
19075,foundry,铸造厂
19076,drug,毒品
19077,shave,刮胡子
19078,mortify,羞辱
19079,amok,阿莫克
19080,haunch,臀部
19081,delirious,神志不清
19082,cluck,咯咯作响
19083,strum,斯特鲁姆
19084,repulse,回绝
19085,demote,降级
19086,reforming,改革
19087,medial,内侧
19088,mutilated,残缺的
19089,six-week,六周
19090,sequin,亮片
19091,reticence,沉默
19092,sleeveless,无袖
19093,capitulate,投降
19094,botched,搞砸了
19095,vengeful,复仇心切
19096,coincidental,巧合
19097,illogical,不合逻辑
19098,stricture,狭窄
19099,heed,注意
19100,humanize,人性化
19101,misperception,误解
19102,collie,牧羊犬
19103,jockey,骑师
19104,sleet,雨夹雪
19105,hiccup,打嗝
19106,departed,已离开
19107,lard,猪油
19108,mesquite,梅斯奎特
19109,fake,造假
19110,awe,敬畏
19111,stalinist,斯大林主义者
19112,tightrope,钢丝
19113,sneer,嗤之以鼻
19114,monogamous,一夫一妻制
19115,furrow,沟槽
19116,playback,回放
19117,connectivity,连通性
19118,one-party,一党制
19119,hurried,急匆匆的
19120,leaning,倾斜度
19121,goodnight,晚安
19122,vanished,消失了
19123,unharmed,安然无恙
19124,amp,安培
19125,artifice,诡计
19126,wiggle,摇摆
19127,gong,锣
19128,tern,燕鸥
19129,iteration,迭代
19130,compendium,简编
19131,fishy,有鱼味的
19132,gaseous,气态的
19133,disguised,变相的
19134,preservationist,自然资源保护者
19135,well-off,小康
19136,plantain,车前草
19137,clang,砰的一声
19138,rancid,腐烂
19139,misjudge,误判
19140,devious,狡猾的
19141,well-rounded,全面发展
19142,souffle,蛋奶酥
19143,unimpressed,不为所动
19144,nay,不是。
19145,storeroom,储藏室
19146,indiscriminately,不加区别地
19147,aphid,麦长管蚜
19148,unquestioned,毋庸置疑
19149,flammable,易燃的
19150,undersecretary,副部长
19151,countenance,面容
19152,wrecked,失事了
19153,puffing,吹气
19154,cropped,剪裁
19155,sensibly,理智地
19156,aegis,宙斯盾
19157,scuff,擦伤
19158,muscle,肌肉
19159,buff,BUFFER
19160,tiled,平铺的
19161,magnifying,放大
19162,frill,褶边
19163,yawn,打哈欠
19164,morphology,形态
19165,foursome,四人组
19166,mortuary,太平间
19167,poisoned,中毒
19168,askew,Askew
19169,insulating,绝缘
19170,scarecrow,稻草人
19171,runny,流口水
19172,heartbroken,心碎
19173,curling,冰壶
19174,cripple,残废
19175,no-brainer,不用动脑筋
19176,wager,打赌
19177,vindictive,报复性的
19178,jubilant,兴高采烈
19179,abut,邻接
19180,long-term-care,长期护理
19181,landfall,登陆
19182,snow-covered,白雪覆盖
19183,fascinated,着迷了
19184,pessimist,悲观主义者
19185,cooperatively,合作地
19186,call-in,呼入
19187,anti-aircraft,防空
19188,unfaithful,不忠
19189,pox,痘痘
19190,precipitously,突然地
19191,untouchable,触碰不到
19192,furnished,配备家具
19193,run-in,磨合
19194,savagely,野蛮地
19195,correspondingly,相应地，
19196,deformation,变形
19197,resumption,恢复
19198,negativity,消极面
19199,driftwood,浮木
19200,yo-yo,悠悠-悠悠
19201,spar,备件
19202,coffeehouse,咖啡馆
19203,top-rated,最高评级
19204,stand-in,替身
19205,parody,恶搞
19206,case-by-case,逐个案例
19207,abrasion,磨损
19208,curving,弯道
19209,(bayou),(河口)
19210,tutelage,监护
19211,juggernaut,霸主地位
19212,superbly,极好地
19213,stag,雄鹿
19214,payable,应付
19215,alertness,警觉性
19216,age-related,与年龄相关的
19217,hard-earned,来之不易
19218,confederation,邦联
19219,priestly,祭司
19220,jaunt,短途旅行
19221,staccato,断奏
19222,theologically,神学上
19223,aggrieved,愤愤不平
19224,friendly,友好
19225,spurt,冲刺
19226,moonlit,月光下
19227,bosnian,波斯尼亚语
19228,swatch,色板
19229,crypt,地穴
19230,headlong,一意孤行
19231,second-degree,二级
19232,old-school,老派的
19233,convoluted,错综复杂
19234,angling,垂钓
19235,tested,测试
19236,compromised,受到威胁
19237,crest,波峰
19238,embellishment,点缀
19239,quash,QUASH
19240,bloodless,不流血
19241,sprained,扭伤了
19242,scarred,伤痕累累
19243,graduated,毕业
19244,three-part,三部曲
19245,titanic,泰坦尼克号
19246,gripe,牢骚满腹
19247,reproach,责备
19248,reconstructive,重建
19249,vastness,辽阔
19250,unabashed,厚颜无耻
19251,verdant,翠绿的
19252,(ark),(方舟)
19253,yer,耶尔
19254,four-wheel,四轮驱动
19255,otherness,他者之异
19256,dictatorial,独裁
19257,unknown,未知
19258,clearinghouse,票据交换所
19259,americanization,美国化
19260,sorbet,冰沙
19261,novella,中篇小说
19262,pneumatic,气动的
19263,fell,坠落
19264,gazebo,凉亭
19265,searcher,搜索者
19266,brainchild,脑洞大开
19267,duplex,双工
19268,misfit,不匹配
19269,astride,横跨
19270,renovated,翻新
19271,wiretap,窃听
19272,ninety-nine,九十九
19273,chain-link,链条
19274,derision,嘲讽
19275,first-quarter,第一季度
19276,timbre,音色
19277,empty-handed,两手空空
19278,you-all,你-所有人
19279,subcategory,子范畴
19280,(tinnitus),(耳鸣)
19281,bandage,绷带
19282,smart,聪明
19283,commandeer,征用
19284,cobweb,蜘蛛网
19285,loader,装载机
19286,blacktop,柏油路
19287,genie,精灵
19288,intonation,语调
19289,femur,股骨
19290,slush,冰沙
19291,approvingly,赞许地
19292,sock,袜子
19293,slur,诽谤
19294,affordability,可负担性
19295,circumcision,包皮环切术
19296,crock,平底锅
19297,subordinate,下属
19298,parlay,Parlay
19299,facsimile,传真
19300,visuals,视觉效果
19301,yummy,美味
19302,sweltering,闷热难耐
19303,sari,纱丽
19304,tertiary,第三产业
19305,senatorial,参议员
19306,burned-out,精疲力竭
19307,tabulate,制表
19308,harvesting,收割
19309,jump-start,快速启动
19310,hypnotize,催眠
19311,second,第二
19312,dilate,扩张
19313,dishearten,灰心丧气
19314,causation,因果关系
19315,plagiarism,抄袭
19316,prep,准备
19317,high-flying,高歌猛进
19318,yellowish,淡黄色
19319,soapy,肥皂
19320,lupus,狼疮
19321,invigorating,振奋人心
19322,carnation,康乃馨
19323,primeval,原始的
19324,unpretentious,不做作
19325,restorative,恢复性
19326,groggy,昏昏沉沉的
19327,delectable,可口的
19328,breathlessly,气喘吁吁
19329,idolize,崇拜偶像
19330,civics,公民学
19331,except,除
19332,ostracize,被排斥
19333,red-haired,红发女郎
19334,jog,慢跑
19335,uncertainly,不确定
19336,fluctuating,波动
19337,archway,牌坊
19338,fluff,绒毛
19339,immunize,免疫
19340,impressively,令人印象深刻
19341,shaved,刮胡子
19342,polyp,息肉
19343,black-owned,黑人拥有
19344,suitably,适当地
19345,nightmarish,噩梦般的
19346,hew,砍头
19347,seven-day,七天
19348,(charger),(充电器)
19349,foolproof,万无一失
19350,flipper,鳍状物
19351,photocopy,复印件
19352,fallow,休耕
19353,freshen,清新
19354,negation,否定
19355,swastika,纳粹十字符号
19356,behead,斩首
19357,stagnate,停滞不前
19358,video-game,电子游戏
19359,hijacking,劫持
19360,powder,粉状
19361,earphone,耳机
19362,fifty-two,五十二
19363,half-hearted,半心半意
19364,bye,再见
19365,charade,字谜游戏
19366,croissant,羊角面包
19367,one-of-a-kind,独一无二的
19368,inscrutable,神秘莫测
19369,italics,斜体
19370,chopping,切碎
19371,stubbornness,固执
19372,impinge,冲撞
19373,temperamental,喜怒无常
19374,illegal,非法
19375,asterisk,星号
19376,washcloth,毛巾
19377,horseradish,辣根
19378,unwitting,不知不觉
19379,dragonfly,蜻蜓
19380,postmodernist,后现代主义
19381,rooted,扎根
19382,polarity,极性
19383,nakedness,裸体
19384,pain,痛楚
19385,acclaim,赞誉
19386,ice,冰
19387,coo,首席运营官
19388,anti-communist,反共
19389,wrack,机架
19390,foregoing,前述
19391,early-morning,一大早
19392,malleable,延展性
19393,apocalypse,世界末日
19394,portend,预示着
19395,fast-paced,快节奏
19396,splurge,挥霍
19397,smallmouth,小嘴巴
19398,unabashedly,厚颜无耻
19399,pearly,珍珠般的
19400,gutsy,勇敢
19401,seer,先知
19402,(sugarcane),(甘蔗)
19403,sardonic,讽刺的
19404,speechwriter,演讲稿撰稿人
19405,grammatical,语法上的
19406,tracer,示踪剂
19407,pucker,皱嘴巴
19408,machinist,机械师
19409,scoundrel,无赖
19410,episodic,插曲
19411,hotshot,神枪手
19412,militancy,好战性
19413,suitability,适宜性
19414,third-generation,第三代
19415,spurious,伪造品
19416,afro-american,非裔美国人
19417,censure,责备
19418,stringy,粘稠的
19419,hopi,霍皮人
19420,behind,在后面
19421,stratification,分层
19422,strapping,系带
19423,prune,修剪
19424,(deodorant),(除臭剂)
19425,dapper,衣冠楚楚
19426,doable,可行的
19427,divider,分隔线
19428,chainsaw,电锯
19429,long-lost,失散已久
19430,evince,表示
19431,drunkenness,醉酒
19432,rubbery,橡胶状的
19433,glitzy,耀眼夺目
19434,herder,牧民
19435,teenaged,青少年
19436,disapproving,不赞成的
19437,disrespect,不尊重
19438,self-taught,自学成才
19439,abbreviated,缩写
19440,caustic,焦散
19441,bed,床
19442,assistive,助教
19443,(bio),(传记)
19444,expendable,消耗品
19445,mammalian,哺乳动物
19446,messianic,弥赛亚式的
19447,microbiologist,微生物学家
19448,impersonate,模拟
19449,detonation,爆轰
19450,flushed,满脸通红
19451,rabies,狂犬病
19452,vitally,极其重要
19453,multipurpose,多用途
19454,neckline,领口
19455,startlingly,令人吃惊地
19456,adhesive,粘合剂
19457,perky,神气活现
19458,quivering,颤抖
19459,turpentine,松节油
19460,second-round,第二轮
19461,rhythmically,有节奏地
19462,disassemble,拆卸
19463,hamper,篮子
19464,hollow,中空的
19465,habitable,宜居
19466,lark,百灵鸟
19467,proclivity,倾向性
19468,zigzag,之字形
19469,narcissism,自恋
19470,settee,长椅
19471,nontoxic,无毒
19472,evolved,进化的
19473,anachronistic,不合时宜
19474,goon,暴徒
19475,divination,占卜
19476,destroyed,被毁
19477,euro-american,欧洲裔美国人
19478,profiling,剖析
19479,mossy,长满苔藓
19480,ostrich,鸵鸟
19481,writ,写入
19482,smoothness,光滑度
19483,romantically,浪漫的
19484,long-ago,很久以前
19485,forty-six,四十六岁
19486,abysmal,糟糕透顶
19487,cooperating,合作
19488,savagery,野蛮的
19489,soluble,可溶的
19490,percolate,渗滤液
19491,hideout,藏身之处
19492,livable,宜居
19493,singular,单数
19494,headwaters,源头
19495,seagull,海鸥
19496,predilection,偏好
19497,rejuvenate,返老还童
19498,superhuman,超人
19499,merrily,很高兴地
19500,hologram,全息图
19501,unknowingly,不知不觉中
19502,tenured,终身教职
19503,creationism,神创论
19504,laborious,吃力的
19505,disembark,下船
19506,squelch,静噪
19507,defibrillator,除颤器
19508,diocesan,教区
19509,divest,剥离
19510,roost,栖息地
19511,gravestone,墓碑
19512,whole-wheat,全麦食品
19513,gambit,策略
19514,tot,托特
19515,degenerative,退化性
19516,detritus,碎屑
19517,undertone,低音
19518,corporal,下士
19519,determinism,决定论
19520,alder,赤杨
19521,inadvertent,无意的
19522,anti-lock,防抱死
19523,clemency,宽大处理
19524,junkyard,废品堆场
19525,cranny,裂隙
19526,midweek,周中
19527,public-relations,公关
19528,effigy,肖像
19529,overzealous,过分热心
19530,four-star,四星级
19531,tamale,玉米粉蒸肉
19532,role-playing,角色扮演
19533,autograph,亲笔签名
19534,soiled,弄脏了
19535,disfigure,毁容
19536,birthright,与生权
19537,dreaming,做梦
19538,one-stop,一站式
19539,phalanx,方阵
19540,hopeful,充满希望
19541,skewed,倾斜的
19542,metastasis,转移
19543,anglo-saxon,盎格鲁-撒克逊人
19544,liberator,解放者
19545,sideboard,餐具柜
19546,deep-sea,深海
19547,trucking,卡车运输
19548,hindrance,障碍物
19549,ninety-five,九十五
19550,regressive,倒退
19551,stingy,吝啬
19552,directed,定向
19553,simplification,简化
19554,macabre,可怕的
19555,(jade),(玉石)
19556,pacemaker,起搏器
19557,dusky,昏暗的
19558,sedative,镇静剂
19559,separatist,分离主义者
19560,preconception,先入为主
19561,stand-up,单口相声
19562,yiddish,意第绪语
19563,quiz,测验
19564,unholy,邪恶的
19565,inculcate,灌输
19566,no-hitter,无安打
19567,ticker,自动收报机
19568,fistful,满满一把
19569,nightlife,夜生活
19570,regionally,按地区划分
19571,pent-up,被压抑的
19572,inattention,注意力不集中
19573,sighted,有目共睹
19574,humbly,谦虚地
19575,monolith,整体式
19576,occasion,场合
19577,duster,除尘器
19578,advisable,可取的
19579,extermination,灭绝
19580,puzzlement,困惑不解
19581,jaunty,兴高采烈
19582,crafty,狡猾
19583,conservatory,音乐学院
19584,broadband,宽带
19585,reveler,狂欢者
19586,scratchy,发痒
19587,discontinuity,不连续
19588,superhighway,高速公路
19589,underwriting,承销
19590,suspenders,吊带
19591,chomp,咬一口
19592,clockwork,发条
19593,chutney,酸辣酱
19594,starched,上浆
19595,roller-coaster,过山车
19596,deliciously,美味的
19597,epilepsy,癫痫
19598,offensively,攻击性的
19599,elbow,肘部
19600,extinguisher,灭火器
19601,sugary,含糖的
19602,adjuster,调整器
19603,oncology,肿瘤学
19604,unconscionable,不合情理
19605,orthopaedic,骨科
19606,acrid,辛辣
19607,rash,皮疹
19608,dimensional,维度
19609,breakaway,脱离
19610,concealment,隐瞒
19611,(auburn),(奥本)
19612,centrifugal,离心式
19613,latency,延迟
19614,full-page,整页
19615,state-sponsored,国家资助的
19616,dismantling,拆卸
19617,interconnection,互联互通
19618,apnea,呼吸暂停
19619,sagebrush,鼠尾草
19620,renege,违背诺言
19621,unconditionally,无条件地
19622,damper,阻尼器
19623,underserved,服务不足
19624,co-sponsor,共同发起人
19625,diagnostics,诊断
19626,born-again,重生
19627,blue-chip,蓝筹股
19628,hinterland,腹地
19629,stub,存根
19630,localize,本地化
19631,anti-drug,禁毒
19632,spleen,脾
19633,flowery,华丽的
19634,curd,凝乳
19635,plotter,绘图仪
19636,flagrant,公然的
19637,commoner,平民百姓
19638,apologetically,表示歉意
19639,despairing,绝望
19640,male-dominated,男性主导
19641,contagion,传染性
19642,meta-analysis,Meta分析
19643,dualism,二元论
19644,unfathomable,深不可测
19645,disembodied,无实体的
19646,fired,被解雇了
19647,workhorse,主力马
19648,jetty,码头
19649,frock,连衣裙
19650,prophesy,预言
19651,sandpaper,砂纸
19652,pointy,尖尖的
19653,vegan,纯素
19654,backpacker,背包客
19655,burlap,粗麻布
19656,rinse,漂洗
19657,counterculture,反主流文化
19658,teasing,调侃
19659,parse,解析
19660,cheetah,猎豹
19661,benevolence,仁爱
19662,muffler,消声器
19663,self-righteous,自以为是
19664,offered,已提供
19665,replant,重新种植
19666,yea,是的
19667,gallop,疾驰
19668,powerlessness,无能为力
19669,leech,水蛭
19670,inhospitable,不友好
19671,mimetic,模仿者
19672,spatter,飞溅
19673,double-edged,双刃剑
19674,three-pointer,三分球
19675,hype,炒作
19676,front-line,前线
19677,fragmentary,支离破碎
19678,nation-building,国家建设
19679,alarmingly,令人震惊地
19680,sportsmanship,体育精神
19681,amulet,护身符
19682,wanderer,漫游者
19683,intermission,中场休息
19684,devastated,悲痛欲绝
19685,pensive,沉思
19686,angled,有角度的
19687,oratory,演说家
19688,autopilot,自动驾驶仪
19689,colombian,哥伦比亚语
19690,neophyte,新手
19691,forefather,祖先
19692,knoll,诺尔
19693,cutthroat,割喉
19694,gamma-ray,伽马射线
19695,cue,球杆
19696,unkempt,凌乱不堪
19697,overjoyed,欣喜若狂
19698,variegated,斑驳的
19699,languid,懒洋洋的
19700,couch,沙发
19701,cachet,纪念碑
19702,minutia,细节点
19703,omnipresent,无所不在
19704,wham,威猛
19705,domed,圆顶的
19706,subsidiary,子公司
19707,cake,蛋糕
19708,nationalize,国有化
19709,powdery,粉状
19710,fatigue,疲劳
19711,cataclysmic,灾难性的
19712,sheathe,护套
19713,cellophane,玻璃纸
19714,stalled,陷入停滞
19715,menial,卑微的
19716,shamelessly,厚颜无耻
19717,pivot,枢轴
19718,hog,小猪
19719,redshift,红移
19720,pate,派特
19721,incomparable,无与伦比
19722,recrimination,相互指责
19723,armrest,扶手
19724,gated,门控
19725,isolationist,孤立主义者
19726,wok,炒锅
19727,congruence,同余
19728,cuticle,角质层
19729,hysterectomy,子宫切除术
19730,third-quarter,第三季度
19731,fart,放屁
19732,gory,血淋淋的
19733,raiser,提升者
19734,spectrometer,分光计
19735,shake-up,整顿
19736,clam,文蛤
19737,hitchhike,搭便车
19738,itchy,发痒
19739,deciding,决定
19740,whilst,同时，
19741,unprofitable,不盈利
19742,stoplight,红绿灯
19743,above-average,高于平均水平
19744,defenseman,防守队员
19745,eye-catching,吸引眼球
19746,toothless,无牙
19747,prussian,普鲁士人
19748,incubate,孵化
19749,porridge,粥
19750,solstice,冬至
19751,monochrome,单色
19752,crisply,干脆利落
19753,glower,怒目而视
19754,so-and-so,某某
19755,u-turn,掉头
19756,slicker,更圆滑
19757,bitch,贱人
19758,jellyfish,水母
19759,plural,复数
19760,lightbulb,灯泡
19761,overdrive,超速行驶
19762,cognizant,认知
19763,inter-american,美洲航空公司
19764,mete,梅特
19765,curvature,曲率
19766,keel,龙骨
19767,(rec),(录制)
19768,scuffle,混战
19769,well-developed,发展良好
19770,polygamy,一夫多妻制
19771,telecast,电视转播
19772,renown,知名度
19773,out-of-town,城外
19774,bloodied,血淋淋的
19775,skim,撇脂
19776,(clipper),(Clipper)
19777,perplexed,困惑不解
19778,hauler,运输车
19779,premarital,婚前
19780,patrolman,巡警
19781,talking,正在交谈
19782,pilings,桩基
19783,(beech),(山毛榉)
19784,gooey,粘粘的
19785,self-doubt,自我怀疑
19786,perforation,穿孔
19787,unbeaten,不败
19788,welt,世界
19789,lifelike,栩栩如生
19790,overrated,高估了
19791,have-not,拥有-不拥有
19792,spirit,精神
19793,redefinition,重新定义
19794,pinched,手头紧
